DATE,Survey,JAR,JAR2,TRT,Blepharisma,Spirostomum,Euplotes_patella,Euplotes_daidaleos1,Lecane,Prorodon,Paramecium_bursaria1
5/5/2015,1,B1R1,1,1,54.811,194.884,3.045,565.96,401.65,0,103.532
5/19/2015,2,B1R1,1,1,12.92,67.829,3.23,232.558,12.92,0,54.91
6/4/2015,3,B1R1,1,1,0,9.585,6.39,99.042,3.19,0,25.559
6/10/2015,4,B1R1,1,1,23.248,36.533,3.321,149.452,53.14,0,39.854
6/25/2015,5,B1R1,1,1,3.304,6.607,0,56.161,3.3,0,19.822
6/30/2015,6,B1R1,1,1,16.393,16.393,0,121.311,36.07,0,6.557
7/7/2015,7,B1R1,1,1,47.664,63.553,0,174.77,95.33,0,47.664
7/14/2015,8,B1R1,1,1,28.02,6.227,0,12.453,0,3.1133,21.793
7/20/2015,9,B1R1,1,1,81.098,28.072,0,115.409,9.36,0,40.549
5/5/2015,1,B1R2,2,1,78.271,182.631,7.454,387.626,59.63,0,190.086
5/19/2015,2,B1R2,2,1,26.569,23.248,9.963,159.415,23.25,0,99.635
6/4/2015,3,B1R2,2,1,0,9.39,0,68.858,12.52,0,37.559
6/10/2015,4,B1R2,2,1,9.214,52.211,9.214,147.42,49.14,0,76.781
6/25/2015,5,B1R2,2,1,12.987,25.974,3.2468,77.922,12.99,0,55.195
6/30/2015,6,B1R2,2,1,72.013,26.187,0,121.113,58.92,0,36.007
7/7/2015,7,B1R2,2,1,98.361,39.344,0,173.77,154.1,0,137.705
7/14/2015,8,B1R2,2,1,37.232,6.205,0,34.13,9.31,0,40.335
7/20/2015,9,B1R2,2,1,155.895,9.743,0,71.452,110.43,0,71.452
5/5/2015,1,B1R3,3,1,16.739,224.305,23.435,509.731,345.89,0,164.044
5/19/2015,2,B1R3,3,1,17.319,48.493,3.464,193.973,24.25,0,69.276
6/4/2015,3,B1R3,3,1,3.179,25.429,3.179,143.039,9.54,0,25.429
6/10/2015,4,B1R3,3,1,6.784,50.882,10.176,298.507,78.02,0,64.45
6/25/2015,5,B1R3,3,1,3.202,12.808,0,121.678,3.2,0,25.616
6/30/2015,6,B1R3,3,1,16.545,39.709,0,188.617,29.78,0,16.545
7/7/2015,7,B1R3,3,1,75,62.5,0,393.75,28.13,0,65.625
7/14/2015,8,B1R3,3,1,9.927,3.309,0,72.799,0,0,23.163
7/20/2015,9,B1R3,3,1,25.237,25.237,0,182.965,41.01,0,41.009
5/5/2015,1,B1R4,4,1,21.038,178.822,0,480.582,605.95,0,126.227
5/19/2015,2,B1R4,4,1,3.121,46.816,6.242,209.114,12.48,3.1211,90.512
6/4/2015,3,B1R4,4,1,2.916,5.833,0,148.731,8.75,0,11.665
6/10/2015,4,B1R4,4,1,9.372,37.488,6.248,249.922,31.24,3.124,46.86
6/25/2015,5,B1R4,4,1,12.727,6.363,0,95.45,0,0,12.727
6/30/2015,6,B1R4,4,1,18.975,9.488,3.1626,189.753,9.49,0,44.276
7/7/2015,7,B1R4,4,1,50.617,22.145,0,303.701,50.62,0,56.944
7/14/2015,8,B1R4,4,1,12.61,0,0,53.594,3.15,0,28.373
7/20/2015,9,B1R4,4,1,12.11,27.248,0,133.212,3.03,0,39.358
5/5/2015,1,B1R5,5,1,17.544,154.386,0,291.228,614.04,3.5088,280.702
5/19/2015,2,B1R5,5,1,50.125,42.965,7.161,196.921,7.16,10.7411,204.082
6/4/2015,3,B1R5,5,1,6.479,3.239,3.239,152.251,6.48,0,68.027
6/10/2015,4,B1R5,5,1,28.674,21.505,0,315.412,57.35,0,197.133
6/25/2015,5,B1R5,5,1,30.13,0,0,21.091,48.21,0,114.492
6/30/2015,6,B1R5,5,1,51.151,12.788,0,22.379,166.24,0,150.256
7/7/2015,7,B1R5,5,1,113.636,2.914,0,17.483,378.79,0,209.79
7/14/2015,8,B1R5,5,1,29.351,0,0,5.87,73.38,0,114.47
7/20/2015,9,B1R5,5,1,40.816,0,0,6.279,222.92,0,128.728
5/5/2015,1,B2R1,6,2,10.49,101.399,160.839,17.483,90.91,6.993,199.301
5/19/2015,2,B2R1,6,2,13.971,24.45,34.928,31.436,27.94,3.4928,150.192
6/4/2015,3,B2R1,6,2,2.982,5.963,11.926,26.834,0,0,17.889
6/10/2015,4,B2R1,6,2,9.282,40.223,30.941,99.01,9.28,0,37.129
6/25/2015,5,B2R1,6,2,3.202,16.01,16.0102,80.051,35.22,0,22.414
6/30/2015,6,B2R1,6,2,6.47,38.822,3.2352,87.35,74.41,0,22.646
7/7/2015,7,B2R1,6,2,6.254,37.523,12.5078,184.49,96.94,0,34.396
7/14/2015,8,B2R1,6,2,3.123,9.369,3.123,59.338,6.25,0,12.492
7/20/2015,9,B2R1,6,2,36.042,13.106,3.2765,104.849,52.42,0,42.595
5/5/2015,1,B2R2,7,2,31.825,45.969,10.608,10.608,1528.18,0,134.371
5/19/2015,2,B2R2,7,2,76.008,72.703,19.828,9.914,403.17,0,158.625
6/4/2015,3,B2R2,7,2,28.745,9.582,0,31.939,57.49,3.1939,47.908
6/10/2015,4,B2R2,7,2,86.8,41.904,2.993,83.807,308.29,0,134.69
6/25/2015,5,B2R2,7,2,72.282,21.999,0,15.713,141.42,0,62.854
6/30/2015,6,B2R2,7,2,103.862,71.405,0,64.914,558.26,0,123.337
7/7/2015,7,B2R2,7,2,238.469,138.061,0,97.27,1875.22,0,229.056
7/14/2015,8,B2R2,7,2,44.843,19.218,0,28.828,118.51,0,57.655
7/20/2015,9,B2R2,7,2,95.178,44.416,0,22.208,409.26,0,104.695
5/5/2015,1,B2R3,8,2,13.532,47.361,30.447,10.149,236.81,6.7659,162.382
5/19/2015,2,B2R3,8,2,32.808,22.966,32.808,36.089,9.84,0,206.693
6/4/2015,3,B2R3,8,2,5.698,0,8.547,11.396,0,0,54.131
6/10/2015,4,B2R3,8,2,50.939,9.551,6.367,92.327,38.2,3.1837,152.818
6/25/2015,5,B2R3,8,2,9.901,0,3.3003,36.304,16.5,0,102.31
6/30/2015,6,B2R3,8,2,9.709,0,0,55.016,29.13,0,161.812
7/7/2015,7,B2R3,8,2,32.113,0,0,51.381,54.59,0,115.607
7/14/2015,8,B2R3,8,2,0,0,0,12.034,9.03,0,60.168
7/20/2015,9,B2R3,8,2,37.062,0,0,10.108,104.45,0,67.385
5/5/2015,1,B2R4,9,2,20.074,244.229,66.912,16.728,197.39,0,140.515
5/19/2015,2,B2R4,9,2,29.922,32.914,131.658,47.876,8.98,11.9689,131.658
6/4/2015,3,B2R4,9,2,9.225,0,3.075,15.375,6.15,0,12.3
6/10/2015,4,B2R4,9,2,28.055,46.758,15.586,71.696,74.81,0,65.461
6/25/2015,5,B2R4,9,2,9.094,15.156,0,27.281,3.03,0,9.094
6/30/2015,6,B2R4,9,2,24.116,13.398,5.3591,83.065,8.04,0,29.475
7/7/2015,7,B2R4,9,2,31.576,34.733,0,91.569,9.47,0,56.836
7/14/2015,8,B2R4,9,2,3.188,0,0,35.065,0,0,19.127
7/20/2015,9,B2R4,9,2,16.25,22.749,0,81.248,9.75,0,55.249
5/5/2015,1,B2R5,10,2,25.932,207.455,71.313,3.241,265.8,0,175.041
5/19/2015,2,B2R5,10,2,23.506,30.222,53.727,10.074,16.79,3.358,174.614
6/4/2015,3,B2R5,10,2,5.99,0,8.985,26.954,2.99,0,50.913
6/10/2015,4,B2R5,10,2,23.095,25.982,11.547,75.058,54.85,0,89.492
6/25/2015,5,B2R5,10,2,18.826,6.275,3.1377,53.342,3.14,0,28.24
6/30/2015,6,B2R5,10,2,30.893,61.786,6.1786,49.428,18.54,0,52.518
7/7/2015,7,B2R5,10,2,69.888,51.656,0,142.814,27.35,3.0386,57.733
7/14/2015,8,B2R5,10,2,5.764,5.764,0,25.937,5.76,0,23.055
7/20/2015,9,B2R5,10,2,18.078,30.13,0,39.168,3.01,0,81.35
5/5/2015,1,B3R1,11,3,14.22,156.417,78.208,3.555,216.85,3.5549,191.966
5/19/2015,2,B3R1,11,3,48.892,52.151,45.632,3.259,22.82,3.2595,94.524
6/4/2015,3,B3R1,11,3,46.634,2.915,26.231,17.488,8.74,0,29.146
6/10/2015,4,B3R1,11,3,132.301,22.588,33.234,13.293,29.91,6.6467,186.108
6/25/2015,5,B3R1,11,3,125.995,13.263,6.6313,16.578,3.32,0,112.732
6/30/2015,6,B3R1,11,3,255.634,20.182,3.3636,16.818,16.82,0,144.635
7/7/2015,7,B3R1,11,3,227.346,70.445,0,6.404,38.42,3.202,124.88
7/14/2015,8,B3R1,11,3,43.378,5.784,0,8.676,0,0,34.702
7/20/2015,9,B3R1,11,3,131.25,12.5,3.125,9.375,12.5,0,46.875
5/5/2015,1,B3R2,12,3,44.218,132.653,251.701,0,357.14,3.4014,74.83
5/19/2015,2,B3R2,12,3,75.993,17.271,107.081,0,34.54,6.9085,134.715
6/4/2015,3,B3R2,12,3,38.992,5.999,119.976,2.999,6,0,77.984
6/10/2015,4,B3R2,12,3,147.012,44.743,86.29,6.392,35.16,3.1959,92.681
6/25/2015,5,B3R2,12,3,106.316,3.127,6.2539,3.127,6.25,0,43.777
6/30/2015,6,B3R2,12,3,156.094,0,6.6423,3.321,13.28,0,96.314
7/7/2015,7,B3R2,12,3,166.965,11.926,2.9815,0,41.74,14.9076,89.445
7/14/2015,8,B3R2,12,3,19.38,0,0,3.23,0,0,19.38
7/20/2015,9,B3R2,12,3,87.2,21.8,3.1143,9.343,9.34,6.2286,90.315
5/5/2015,1,B3R3,13,3,46.263,113.879,131.673,64.057,384.34,0,88.968
5/19/2015,2,B3R3,13,3,59.975,37.879,59.975,0,34.72,9.4697,119.949
6/4/2015,3,B3R3,13,3,37.89,2.915,20.402,0,2.91,0,58.292
6/10/2015,4,B3R3,13,3,160.6,17.844,14.276,0,67.81,0,107.066
6/25/2015,5,B3R3,13,3,90.117,3.004,18.0234,0,0,0,66.086
6/30/2015,6,B3R3,13,3,207.559,27.881,3.0979,15.207,3.1,3.0979,136.307
7/7/2015,7,B3R3,13,3,331.447,188.628,0,8.084,13.47,2.6947,134.735
7/14/2015,8,B3R3,13,3,32.415,13.506,2.7012,8.104,2.7,0,24.311
7/20/2015,9,B3R3,13,3,113.438,95.986,2.9087,20.361,11.63,8.726,87.26
5/5/2015,1,B3R4,14,3,29.098,116.392,184.287,0,45.26,0,213.385
5/19/2015,2,B3R4,14,3,23.838,27.811,39.73,0,19.86,7.946,131.108
6/4/2015,3,B3R4,14,3,57.074,3.004,12.016,0,15.02,3.0039,102.133
6/10/2015,4,B3R4,14,3,102.354,13.647,17.059,6.824,64.82,0,167.178
6/25/2015,5,B3R4,14,3,78.87,9.859,3.2862,0,0,0,36.149
6/30/2015,6,B3R4,14,3,315.726,48.573,0,6.072,12.14,0,121.433
7/7/2015,7,B3R4,14,3,494.456,83.908,0,14.984,35.96,0,104.885
7/14/2015,8,B3R4,14,3,52.402,2.911,0,0,5.82,0,34.934
7/20/2015,9,B3R4,14,3,57.822,6.425,0,3.212,16.06,6.4247,73.884
5/5/2015,1,B3R5,15,3,40.205,153.509,29.24,7.31,728.03,0,157.164
5/19/2015,2,B3R5,15,3,51.107,23.85,34.072,0,23.85,20.4429,211.244
6/4/2015,3,B3R5,15,3,48.077,9.014,15.024,6.01,3,3.0048,87.139
6/10/2015,4,B3R5,15,3,134.078,39.106,27.933,2.793,106.15,5.5866,167.598
6/25/2015,5,B3R5,15,3,138.376,12.3,0,3.075,221.4,0,73.801
6/30/2015,6,B3R5,15,3,169.167,31.918,12.7673,15.959,539.42,0,102.139
7/7/2015,7,B3R5,15,3,207.547,47.17,3.1447,25.157,1706.34,0,267.296
7/14/2015,8,B3R5,15,3,26.587,6.647,0,9.97,39.88,0,93.054
7/20/2015,9,B3R5,15,3,64.433,48.325,0,16.108,273.84,3.2216,180.412
5/5/2015,1,B4R1,16,4,53.405,150.2,166.889,0,6.68,0,30.04
5/19/2015,2,B4R1,16,4,40.816,57.823,306.122,3.401,17.01,0,13.605
6/4/2015,3,B4R1,16,4,26.922,0,38.887,2.991,5.98,0,17.948
6/10/2015,4,B4R1,16,4,283.401,15.571,65.4,15.571,74.74,0,56.057
6/25/2015,5,B4R1,16,4,207.967,14.646,20.5038,20.504,35.15,0,11.716
6/30/2015,6,B4R1,16,4,350.35,40.04,3.3367,16.683,96.76,0,16.683
7/7/2015,7,B4R1,16,4,344.828,91.087,9.7593,22.772,178.92,0,58.556
7/14/2015,8,B4R1,16,4,23.194,9.94,0,0,3.31,0,16.567
7/20/2015,9,B4R1,16,4,61.849,16.207,3.2552,6.51,97.66,0,26.042
5/5/2015,1,B4R2,17,4,185.444,188.943,111.966,3.499,143.46,0,20.994
5/19/2015,2,B4R2,17,4,102.894,35.37,112.54,6.431,25.72,0,48.232
6/4/2015,3,B4R2,17,4,86.63,2.888,63.529,17.326,25.99,0,23.101
6/10/2015,4,B4R2,17,4,425.211,12.063,36.188,24.125,117.61,0,60.314
6/25/2015,5,B4R2,17,4,171.483,9.527,6.3512,0,181.01,0,69.863
6/30/2015,6,B4R2,17,4,163.185,3.264,0,6.527,378.59,0,52.219
7/7/2015,7,B4R2,17,4,168.592,6.244,0,31.221,794.07,0,99.906
7/14/2015,8,B4R2,17,4,15.188,0,0,0,57.72,0,57.716
7/20/2015,9,B4R2,17,4,37.535,0,0,6.256,331.56,0,103.222
5/5/2015,1,B4R3,18,4,132.379,282.648,50.089,0,85.87,0,46.512
5/19/2015,2,B4R3,18,4,141.68,16.474,191.104,0,13.18,0,49.423
6/4/2015,3,B4R3,18,4,116.318,6.647,79.761,16.617,19.94,0,63.144
6/10/2015,4,B4R3,18,4,345.502,19.557,39.113,39.113,68.45,0,78.227
6/25/2015,5,B4R3,18,4,170.754,3.105,0,9.314,189.38,0,46.569
6/30/2015,6,B4R3,18,4,189.604,0,0,13.076,745.34,0,62.112
7/7/2015,7,B4R3,18,4,246.4,3.2,0,16,1906.86,0,131.2
7/14/2015,8,B4R3,18,4,21.135,0,0,0,99.64,0,66.425
7/20/2015,9,B4R3,18,4,40.745,2.91,0,11.641,308.5,0,52.386
5/5/2015,1,B4R4,19,4,140.374,197.193,70.187,0,23.4,0,46.791
5/19/2015,2,B4R4,19,4,61.786,21.625,151.375,6.179,9.27,0,58.696
6/4/2015,3,B4R4,19,4,131.258,9.158,24.42,6.105,30.53,0,67.155
6/10/2015,4,B4R4,19,4,426.913,10.246,23.907,10.246,338.11,0,126.366
6/25/2015,5,B4R4,19,4,144.972,0,3.0845,6.169,487.35,0,67.859
6/30/2015,6,B4R4,19,4,171.084,0,0,6.709,1070.11,0,57.028
7/7/2015,7,B4R4,19,4,201.889,22.794,0,13.025,1995.88,0,169.326
7/14/2015,8,B4R4,19,4,92.336,0,0,0,326.25,0,138.504
7/20/2015,9,B4R4,19,4,107.387,6.508,0,0,598.76,0,169.216
5/5/2015,1,B4R5,20,4,156.033,110.957,31.207,0,24.27,0,55.479
5/19/2015,2,B4R5,20,4,76.947,36.934,187.75,0,9.23,0,33.857
6/4/2015,3,B4R5,20,4,79.318,2.938,32.315,2.938,17.63,0,23.502
6/10/2015,4,B4R5,20,4,284.686,35.995,71.99,13.089,134.16,0,29.45
6/25/2015,5,B4R5,20,4,273.288,5.877,2.9386,11.754,58.77,0,32.324
6/30/2015,6,B4R5,20,4,415.271,6.698,3.349,30.141,442.06,0,23.443
7/7/2015,7,B4R5,20,4,363.853,68.595,8.9472,35.789,208.77,0,68.595
7/14/2015,8,B4R5,20,4,18.91,22.061,3.1516,6.303,18.91,0,37.819
7/20/2015,9,B4R5,20,4,95.18,12.281,0,12.281,70.62,0,52.195
5/5/2015,1,B5R1,21,5,57.608,189.766,47.442,.,843.78,6.7774,67.774
5/19/2015,2,B5R1,21,5,31.857,15.929,140.172,.,60.53,6.3715,172.029
6/4/2015,3,B5R1,21,5,39.19,19.595,212.28,.,26.13,3.2658,91.444
6/10/2015,4,B5R1,21,5,62.768,33.036,204.823,.,72.68,6.6072,185.002
6/25/2015,5,B5R1,21,5,41.176,11.765,35.2941,.,50,0,100
6/30/2015,6,B5R1,21,5,65.147,35.831,35.8306,.,22.8,3.2573,117.264
7/7/2015,7,B5R1,21,5,81.384,33.91,16.9549,.,74.6,23.7369,247.542
7/14/2015,8,B5R1,21,5,11.901,5.951,11.9012,.,8.93,8.9259,68.432
7/20/2015,9,B5R1,21,5,15.635,3.127,9.3809,.,6.25,3.127,168.856
5/5/2015,1,B5R2,22,5,49.875,210.189,114.001,.,537.94,0,128.251
5/19/2015,2,B5R2,22,5,20.74,31.11,179.744,.,48.39,3.4566,124.438
6/4/2015,3,B5R2,22,5,40.282,6.714,208.124,.,16.78,6.7137,87.278
6/10/2015,4,B5R2,22,5,78.989,18.957,205.371,.,12.64,3.1596,199.052
6/25/2015,5,B5R2,22,5,11.94,11.94,44.7761,.,8.96,2.9851,137.313
6/30/2015,6,B5R2,22,5,22.422,12.812,16.0154,.,6.41,22.4215,118.514
7/7/2015,7,B5R2,22,5,61.786,55.607,15.4464,.,3.09,12.3571,185.357
7/14/2015,8,B5R2,22,5,18.394,6.131,3.0656,.,6.13,0,79.706
7/20/2015,9,B5R2,22,5,20.927,32.885,2.9895,.,0,0,116.592
5/5/2015,1,B5R3,23,5,68.365,152.268,180.236,.,394.66,9.3226,158.484
5/19/2015,2,B5R3,23,5,30.96,9.288,89.783,.,30.96,0,108.359
6/4/2015,3,B5R3,23,5,18.198,12.132,63.694,.,18.2,3.0331,78.86
6/10/2015,4,B5R3,23,5,40.844,34.037,64.67,.,64.67,3.4037,129.34
6/25/2015,5,B5R3,23,5,39.88,43.204,3.3234,.,9.97,0,186.108
6/30/2015,6,B5R3,23,5,63.842,40.627,11.6077,.,26.12,2.9019,92.861
7/7/2015,7,B5R3,23,5,80.921,87.146,12.4494,.,52.91,0,155.618
7/14/2015,8,B5R3,23,5,11.351,14.116,0,.,11.29,0,104.461
7/20/2015,9,B5R3,23,5,51.696,12.924,0,.,22.62,3.231,103.393
5/5/2015,1,B5R4,24,5,18.349,73.394,36.697,.,910.09,3.6697,168.807
5/19/2015,2,B5R4,24,5,39.126,26.084,52.168,.,74.99,3.2605,192.37
6/4/2015,3,B5R4,24,5,37.915,3.16,66.351,.,37.91,12.6382,123.223
6/10/2015,4,B5R4,24,5,67.179,12.796,105.566,.,22.39,3.199,223.928
6/25/2015,5,B5R4,24,5,17.508,17.508,2.918,.,67.11,0,163.408
6/30/2015,6,B5R4,24,5,35.545,5.924,14.8104,.,38.51,2.9621,213.27
7/7/2015,7,B5R4,24,5,51.766,0,6.0901,.,30.45,6.0901,246.65
7/14/2015,8,B5R4,24,5,9.096,0,0,.,9.1,0,124.318
7/20/2015,9,B5R4,24,5,15.778,0,0,.,41.02,0,214.579
5/5/2015,1,B5R5,25,5,28.694,60.976,161.406,.,229.56,3.5868,111.191
5/19/2015,2,B5R5,25,5,52.459,9.836,177.049,.,39.34,3.2787,91.803
6/4/2015,3,B5R5,25,5,51.02,25.51,121.173,.,12.76,0,47.832
6/10/2015,4,B5R5,25,5,93.854,30.276,118.074,.,39.36,9.0827,175.598
6/25/2015,5,B5R5,25,5,15.581,6.232,21.8136,.,3.12,0,43.627
6/30/2015,6,B5R5,25,5,37.441,15.601,21.8409,.,6.24,0,140.406
7/7/2015,7,B5R5,25,5,46.512,102.99,49.8339,.,16.61,6.6445,102.99
7/14/2015,8,B5R5,25,5,8.545,19.937,0,.,2.85,0,45.571
7/20/2015,9,B5R5,25,5,25.551,9.582,0,.,9.58,6.3877,102.204
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
